bea_code,detail_code,bea_desc,category
311520,ice_fbp,Ice cream and frozen dessert manufacturing,goods
337127,ifm_fpd,Institutional furniture manufacturing,goods
624100,ifs_soc,Individual and family services,goods
325120,igm_che,Industrial gas manufacturing,goods
333511,imm_mch,Industrial mold manufacturing,goods
S00300,imp_oth,Noncomparable imports,goods
MCIF,imports,Imports,
811300,imr_osv,Commercial and industrial machinery and equipment repair and maintenance,goods
711500,ind_art,"Independent artists, writers, and performers",goods
T018,industryoutput,Total industry output (basic value),
519130,int_dat,Internet publishing and broadcasting and Web search portals,goods
533000,int_rnt,Lessors of nonfinancial intangible assets,goods
F02N00,intelprop,Nonresidential private fixed investment in intellectual property products,finaldemand
T005,interm,Total intermediate inputs,
561600,inv_adm,Investigation and security services,goods
325413,inv_che,In-vitro diagnostic substance manufacturing,goods
333994,ipf_mch,Industrial process furnace and oven manufacturing,goods
334513,ipv_cep,Industrial process variable instruments manufacturing,goods
331110,irn_pmt,Iron and steel mills and ferroalloy manufacturing,goods
334517,irr_cep,Irradiation apparatus manufacturing,goods
339910,jwl_mmf,Jewelry and silverware manufacturing,goods
621500,lab_amb,Medical and diagnostic laboratories,goods
326130,lam_pla,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",goods
316000,lea_alt,Leather and allied product manufacturing,goods
212230,led_min,"Copper, nickel, lead, and zinc mining",goods
541100,leg_leg,Legal services,goods
722211,lim_res,Limited-service restaurants,goods
314120,lin_tex,Curtain and linen mills,goods
327400,lme_nmp,Lime and gypsum product manufacturing,goods
113000,log_fof,Forestry and logging,goods
335120,ltf_eec,Lighting fixture manufacturing,goods
336112,ltr_mot,Light truck and utility vehicle manufacturing,goods
333112,lwn_mch,Lawn and garden equipment manufacturing,goods
5111A0,mal_pub,"Directory, mailing list, and other publishers",goods
550000,man_man,Management of companies and enterprises,goods
TRADE,margins,Trade margins,
333920,mat_mch,Material handling equipment manufacturing,goods
336211,mbd_mot,Motor vehicle body manufacturing,goods
325411,mbm_che,Medicinal and botanical manufacturing,goods
332710,mch_fmt,Machine shops,goods
333613,mch_mch,Mechanical power transmission equipment manufacturing,goods
423800,mch_wht,"Machinery, equipment, and supplies",goods
336991,mcl_ote,"Motorcycle, bicycle, and parts manufacturing",goods
333517,mct_mch,Machine tool manufacturing,goods
492000,mes_otr,Couriers and messengers,goods
233230,mfs_con,Manufacturing structures,goods
541610,mgt_tsv,Management consulting services,goods
321910,mil_wpd,Millwork,goods
333130,min_mch,Mining and oil and gas field machinery manufacturing,goods
336414,mis_ote,Guided missile and space vehicle manufacturing,goods
5419A0,mkt_tsv,"All other miscellaneous professional, scientific, and technical services",goods
31151A,mlk_fbp,Fluid milk and butter manufacturing,goods
336992,mlt_ote,"Military armored vehicle, tank, and tank component manufacturing",goods
334610,mmo_cep,Manufacturing and reproducing magnetic and optical media,goods
327999,mnm_nmp,Miscellaneous nonmetallic mineral products,goods
52A000,mon_bnk,Monetary authorities and depository credit intermediation,goods
233412,mrs_con,Multifamily residential structures,goods
332430,mtc_fmt,"Metal can, box, and other metal container (light gauge) manufacturing",goods
335312,mtg_eec,Motor and generator manufacturing,goods
332420,mtt_fmt,Metal tank (heavy gauge) manufacturing,goods
423100,mtv_wht,Motor vehicle and motor vehicle parts and supplies,goods
712000,mus_art,"Museums, historical sites, zoos, and parks",goods
441000,mvt_mvt,Motor vehicle and parts dealers,goods
623A00,ncc_nrs,Nursing and community care facilities,goods
424A00,ndg_wht,Other nondurable goods merchant wholesalers,goods
5191A0,new_dat,"News syndicates, libraries, archives and all other information services",goods
511110,new_pub,Newspaper publishers,goods
331520,nff_pmt,Nonferrous metal foundries,goods
331490,nfm_pmt,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",goods
230301,nmr_con,Nonresidential maintenance and repair,goods
