s,desc
wdv_eec,Wiring device manufacturing
wet_fbp,Wet corn milling
why_fbp,Distilleries
wls_brd,Wireless telecommunications carriers (except satellite)
wne_fbp,Wineries
wol_nmp,Mineral wool manufacturing
wrh_wrh,Warehousing and storage
wst_wst,Waste management and remediation services
wtl_brd,Wired telecommunications carriers
wtt_wtt,Water transportation
