summary_code,detail_code,detail_desc,bea_code
fmt,tps_fmt,"Turned product and screw, nut, and bolt manufacturing",332720
fmt,vlv_fmt,Valve and fittings other than plumbing,33291A
fnd,fnd_fnd,Federal general government (nondefense),S00600
fof,fht_fof,"Fishing, hunting and trapping",114000
fof,log_fof,Forestry and logging,113000
fof,saf_fof,Support activities for agriculture and forestry,115000
fpd,cab_fpd,Wood kitchen cabinet and countertop manufacturing,337110
fpd,ifm_fpd,Institutional furniture manufacturing,337127
fpd,nup_fpd,Nonupholstered wood household furniture manufacturing,337122
fpd,off_fpd,Office furniture and custom architectural woodwork and millwork manufacturing,33721A
fpd,ofp_fpd,Other furniture related product manufacturing,337900
fpd,ohn_fpd,Other household nonupholstered furniture,33712N
fpd,shv_fpd,"Showcase, partition, shelving, and locker manufacturing",337215
fpd,uph_fpd,Upholstered household furniture manufacturing,337121
gmt,gmt_gmt,General merchandise stores,452000
grd,grd_grd,Transit and ground passenger transportation,485000
hos,hos_hos,Hospitals,622000
hou,own_hou,Owner-occupied housing,531HSO
hou,rnt_hou,Tenant-occupied housing,531HST
ins,agn_ins,"Insurance agencies, brokerages, and related activities",524200
ins,car_ins,"Insurance carriers, except direct life",5241XX
ins,dir_ins,Direct life insurance carriers,524113
leg,leg_leg,Legal services,541100
man,man_man,Management of companies and enterprises,550000
mch,acn_mch,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",333415
mch,agc_mch,Air and gas compressor manufacturing,333912
mch,air_mch,Industrial and commercial fan and blower and air purification equipment manufacturing,333413
mch,con_mch,Construction machinery manufacturing,333120
mch,cut_mch,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",33351B
mch,fld_mch,Fluid power process machinery,33399B
mch,frm_mch,Farm machinery and equipment manufacturing,333111
mch,hea_mch,Heating equipment (except warm air furnaces) manufacturing,333414
mch,imm_mch,Industrial mold manufacturing,333511
mch,ipf_mch,Industrial process furnace and oven manufacturing,333994
mch,lwn_mch,Lawn and garden equipment manufacturing,333112
mch,mat_mch,Material handling equipment manufacturing,333920
mch,mch_mch,Mechanical power transmission equipment manufacturing,333613
mch,mct_mch,Machine tool manufacturing,333517
mch,min_mch,Mining and oil and gas field machinery manufacturing,333130
mch,oci_mch,Other commercial and service industry machinery manufacturing,333318
mch,oee_mch,Other engine equipment manufacturing,333618
mch,ogp_mch,Other general purpose machinery manufacturing,33399A
mch,opt_mch,Optical instrument and lens manufacturing,333314
mch,oti_mch,Other industrial machinery manufacturing,33329A
mch,pht_mch,Photographic and photocopying equipment manufacturing,333316
mch,pkg_mch,Packaging machinery manufacturing,333993
mch,ppe_mch,Pump and pumping equipment manufacturing,33391A
mch,pwr_mch,Power-driven handtool manufacturing,333991
mch,smc_mch,Semiconductor machinery manufacturing,333242
mch,spd_mch,"Speed changer, industrial high-speed drive, and gear manufacturing",333612
mch,spt_mch,"Special tool, die, jig, and fixture manufacturing",333514
mch,tbn_mch,Turbine and turbine generator set units manufacturing,333611
min,col_min,Coal mining,212100
min,led_min,"Copper, nickel, lead, and zinc mining",212230
min,ore_min,"Iron, gold, silver, and other metal ore mining",2122A0
min,oth_min,Other nonmetallic mineral mining and quarrying,2123A0
min,stn_min,Stone mining and quarrying,212310
mmf,ath_mmf,Sporting and athletic goods manufacturing,339920
mmf,dlb_mmf,Dental laboratories,339116
mmf,dnt_mmf,Dental equipment and supplies manufacturing,339114
mmf,jwl_mmf,Jewelry and silverware manufacturing,339910
mmf,ofm_mmf,Office supplies (except paper) manufacturing,339940
mmf,omm_mmf,All other miscellaneous manufacturing,339990
mmf,oph_mmf,Ophthalmic goods manufacturing,339115
mmf,sas_mmf,Surgical appliance and supplies manufacturing,339113
mmf,sgn_mmf,Sign manufacturing,339950
mmf,smi_mmf,Surgical and medical instrument manufacturing,339112
mmf,toy_mmf,"Doll, toy, and game manufacturing",339930
mot,atm_mot,Automobile manufacturing,336111
mot,brk_mot,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",3363A0
mot,cam_mot,Travel trailer and camper manufacturing,336214
mot,eee_mot,Motor vehicle electrical and electronic equipment manufacturing,336320
mot,gas_mot,Motor vehicle gasoline engine and engine parts manufacturing,336310
mot,hom_mot,Motor home manufacturing,336213
mot,htr_mot,Heavy duty truck manufacturing,336120
mot,ltr_mot,Light truck and utility vehicle manufacturing,336112
mot,mbd_mot,Motor vehicle body manufacturing,336211
mot,omv_mot,Other motor vehicle parts manufacturing,336390
mot,stm_mot,Motor vehicle metal stamping,336370
mot,tpw_mot,Motor vehicle transmission and power train parts manufacturing,336350
mot,trl_mot,Truck trailer manufacturing,336212
mot,trm_mot,Motor vehicle seating and interior trim manufacturing,336360
mov,pic_mov,Motion picture and video industries,512100
mov,snd_mov,Sound recording industries,512200
mvt,mvt_mvt,Motor vehicle and parts dealers,441000
nmp,abr_nmp,Abrasive product manufacturing,327910
nmp,cly_nmp,Clay product and refractory manufacturing,327100
nmp,cmt_nmp,Cement manufacturing,327310
nmp,cnc_nmp,Ready-mix concrete manufacturing,327320
nmp,cpb_nmp,"Concrete pipe, brick, and block manufacturing",327330
nmp,cut_nmp,Cut stone and stone product manufacturing,327991
nmp,gla_nmp,Glass and glass product manufacturing,327200
nmp,lme_nmp,Lime and gypsum product manufacturing,327400
nmp,mnm_nmp,Miscellaneous nonmetallic mineral products,327999
nmp,ocp_nmp,Other concrete product manufacturing,327390
nmp,tmn_nmp,Ground or treated mineral and earth manufacturing,327992
nmp,wol_nmp,Mineral wool manufacturing,327993
nrs,ncc_nrs,Nursing and community care facilities,623A00
nrs,res_nrs,"Residential mental health, substance abuse, and other residential care facilities",623B00
oil,oil_oil,Oil and gas extraction,211000
ore,ore_ore,Other real estate,531ORE
osv,atr_osv,Automotive repair and maintenance (including car washes),811100
osv,civ_osv,"Civic, social, professional, and similar organizations",813B00
osv,dry_osv,Dry-cleaning and laundry services,812300
osv,eqr_osv,Electronic and precision equipment repair and maintenance,811200
osv,fun_osv,Death care services,812200
osv,grt_osv,"Grantmaking, giving, and social advocacy organizations",813A00
osv,hgr_osv,Personal and household goods repair and maintenance,811400
osv,imr_osv,Commercial and industrial machinery and equipment repair and maintenance,811300
osv,ops_osv,Other personal services,812900
osv,pcs_osv,Personal care services,812100
osv,prv_osv,Private households,814000
osv,rel_osv,Religious organizations,813100
ote,aen_ote,Aircraft engine and engine parts manufacturing,336412
ote,air_ote,Aircraft manufacturing,336411
ote,bot_ote,Boat building,336612
ote,mcl_ote,"Motorcycle, bicycle, and parts manufacturing",336991
ote,mis_ote,Guided missile and space vehicle manufacturing,336414
ote,mlt_ote,"Military armored vehicle, tank, and tank component manufacturing",336992
ote,oar_ote,Other aircraft parts and auxiliary equipment manufacturing,336413
ote,otm_ote,All other transportation equipment manufacturing,336999
ote,pro_ote,Propulsion units and parts for space vehicles and guided missiles,33641A
